Title,Total Abstract Length,Perc common English words,Perc common technical words,Perc keywords
Precision of Le Fort I osteotomy: planning versus outcome. A multi-centre retrospective study,74,35.14,10.81,54.05
Explicit Estimates: From Λ(n) in Arithmetic Progressions to Λ(n)/n,159,38.36,10.06,51.57
"Grammar, context and power: securitization of the 2010 Belgrade Pride Parade",134,41.79,14.18,44.03
A faster inoculation assay for Armillaria using herbaceous plants,200,33.5,11,55.5
The exchange of hearts in the English poems of Charles d'Orléans,228,36.84,12.72,50.44
"Tetrel, pnictogen and chalcogen bonds identified in the gas phase before they had names: A systematic look at non-covalent interactions",320,39.38,19.69,40.94
Asymmetric Synthesis of Secondary and Tertiary Boronic Esters,253,32.81,10.67,56.52
Recent developments in the use of aza-Heck cyclizations for the synthesis of chiral N-heterocycles,157,40.76,16.56,42.68
Current best practice in the evaluation and management of malignant pleural effusions,268,34.33,19.78,45.9
Local anaesthesia for ocular surgery,122,36.07,9.02,54.92
A response to the essays,255,33.33,14.9,51.76
Reduced-order modeling of gust responses,110,40,10.91,49.09
Childhood Traumatic Brain Injury and the Associations with Risk Behavior in Adolescence and Young Adulthood: A Systematic Review,146,30.14,17.12,52.74
Is human enhancement a threat to solidarity?,211,49.29,13.74,36.97
Enabling good emotional support for and with people with learning disabilities,141,42.55,22.7,34.75
Methodological exemplar of integrating quantitative and qualitative evidence – supportive care for men with prostate cancer: what are the most important components?,253,41.11,17.79,41.11
Computed tomography in congenital heart disease: How generic principles can be applied to create bespoke protocols in the Fontan circuit,34,35.29,14.71,50
Control of carbapenemase-producing Enterobacteriaceae outbreaks in acute settings: an evidence review,190,40,24.21,35.79
Ca2+-permeable AMPA receptor: A new perspective on amyloid-beta mediated pathophysiology of Alzheimer's disease,139,41.73,20.86,37.41
Collection development in UK university libraries,94,44.68,10.64,44.68
Towards effective cybersecurity resource allocation: The Monte Carlo predictive modelling approach,241,34.44,11.62,53.94
Bettering the Best Interests of the Child Determination: Of Checklists and Balancing Exercises,128,38.28,12.5,49.22
Labour law and feminist method,315,40.32,19.37,40.32
Physiological and pathophysiological implications of synaptic tau,119,41.18,9.24,49.58
Virtuous Circles and the Case for Aid,151,39.07,13.91,47.02
How camouflage works,239,32.64,12.13,55.23
On sup-norms of cusp forms of powerful level,250,31.6,14.4,54
Society as a complex system: How can we make the best decisions for our future?,113,34.51,12.39,53.1
"Identity in homotopy type theory: Part II, the conceptual and philosophical status of identity in HoTT",288,39.93,12.5,47.57
Anthropogenic noise alters dwarf mongoose responses to heterospecific alarm calls,373,37.53,16.35,46.11
Heavily Substituted Atropisomeric Diarylamines by Unactivated Smiles Rearrangement of N-Aryl Anthranilamides,193,34.72,16.06,49.22
A proof of the refined Gan-Gross-Prasad conjecture for non-endoscopic Yoshida lifts,203,35.47,11.33,53.2
Quantum Pattern Matching Fast on Average,291,46.05,14.78,39.18
Ramsey multiplicity of linear patterns in certain finite abelian groups,161,40.37,9.32,50.31
"Assessing an efficient ""instant Acclimation"" approximation of dynamic phytoplankton stoichiometry",237,35.44,15.61,48.95
Conjunctive functionalization of vinyl boronate complexes with electrophiles: A diastereoselective three-component coupling,292,35.96,21.23,42.81
Towards the upgrading of fermentation broths to advanced biofuels: A water tolerant catalyst for the conversion of ethanol to isobutanol,227,36.12,19.38,44.49
Hybrid sup-norm bounds for maass newforms of powerful level,60,36.67,13.33,50
Obsessive-Compulsive Ir/rationality in Watt,227,33.48,18.94,47.58
On the Matter of the Concept: Ferreira Gullar’s Relational Poetics,273,41.76,12.45,45.79
The PERFORM project: Using performing arts to increase engagement and understanding of science,210,43.33,9.05,47.62
Stereospecific functionalizations and transformations of secondary and tertiary boronic esters,77,42.86,7.79,49.35
Enantioselective carbohydrate recognition by synthetic lectins in water,151,33.77,17.88,48.34
A higher-dimensional Siegel-Walfisz theorem,85,36.47,12.94,50.59
Supnorm of modular forms of half-integral weight in the weight aspect,173,35.26,10.4,54.34
"Addition of a Cyclophosphine to Nitriles: An Inorganic Click Reaction Featuring Protio, Organo, and Main-Group Catalysis",160,37.5,17.5,45
2-Pyridyl substituents enhance the activity of palladium-phospha-adamantane catalysts for the methoxycarbonylation of phenylacetylene,260,38.08,12.69,49.23
Selective uni- and bidirectional homologation of diborylmethane,122,43.44,13.11,43.44
Overexpression of Kinesin Superfamily Motor Proteins in Alzheimer's Disease,144,43.75,12.5,43.75
Halal food Certification in the UK and its impact on food businesses: A review in the context of the European Union,296,33.45,11.49,55.07
Individual and family factors associated with self-esteem in young people with epilepsy: A multiple mediation analysis,179,37.43,19.55,43.02
"Queer, visible, present: The visibility of older LGB adults in long-term care environments",171,38.01,11.11,50.88
"Income generation, informality and poverty in urban Turkey",127,32.28,25.2,42.52
Looked after children and youth justice: A response to recent reviews,107,33.64,14.02,52.34
Coiled-coil design: Updated and upgraded,53,32.08,11.32,56.6
Failures of the integral Hasse principle for affine quadric surfaces,255,32.16,19.22,48.63
Worker reallocation across occupations: Confronting data with theory,409,38.63,18.58,42.79
An intelligent hot-desking model harnessing the power of occupancy sensing data,177,31.64,12.43,55.93
Isolating some non-trivial zeros of zeta,183,32.24,18.03,49.73
"Dominance, gender, and season influence food patch use in a group-living, solitary foraging canid",195,31.28,16.92,51.79
"PGOPHER: A program for simulating rotational, vibrational and electronic spectra",185,35.68,15.68,48.65
Dynamic Performance of Electrical Balance Duplexing in a Vehicular Scenario,293,29.69,15.02,55.29
Compound Radar Approach for Breast Imaging,145,38.62,17.93,43.45
The impact of the pull of the Recent on the fossil record of tetrapods,216,38.43,16.2,45.37
The edges of the nation: a research agenda for uncovering the taken-for-granted foundations of everyday nationhood,302,38.08,18.54,43.38
Boron-nitrogen main chain analogues of polystyrene: Poly(: B -aryl)aminoboranes via catalytic dehydrocoupling,160,35.62,8.75,55.62
"The Freedom of Religion or Belief in the ECHR since Kokkinakis. Or ""quoting Kokkinakis""",198,33.33,8.59,58.08
Buildings archaeology without recording,303,35.97,16.5,47.52
A Diophantine approach to the three and four exponentials conjectures,257,34.24,8.56,57.2
"Drug law enforcement revisited: The ""war"" against the war on drugs",294,35.37,14.63,50
Automorphicity and mean-periodicity,231,45.02,11.69,43.29
Evidence for plical support of the patella,316,34.18,19.94,45.89
Cultural evolution of military camouflage,259,27.8,24.71,47.49
The neuroscience of people watching: How the human brain makes sense of other people’s encounters,273,33.33,11.72,54.95
Where are they going? Case of British and Japanese human resource management,249,35.74,14.86,49.4
Oral hairy leukoplakia arising in a patient with hairy cell leukaemia: The first reported case,192,35.94,7.81,56.25
Personal social services for children and families in the UK: A historical review,235,42.13,13.19,44.68
Rare XXY/XX mosaicism in a phenotypic male presenting as cystic hygroma in the first trimester,184,37.5,12.5,50
Hypoxic-ischemic brain injury: Planned delivery before intrapartum events,216,35.19,15.28,49.54
Streptococcus thermophilus NCIMB 41856 ameliorates signs of colitis in an animal model of inflammatory bowel disease,396,31.57,11.11,57.32
Closed-form solutions of hole distortion for use in deep-hole drilling measurements of residual stress in orthotropic plates,197,33.5,19.29,47.21
Experimental tracking of limit-point bifurcations and backbone curves using control-based continuation,228,34.65,13.6,51.75
Simplified analytical model for tapered sandwich beams using variable stiffness materials,199,29.65,9.55,60.8
Kohler's disease: An unusual cause for a limping child,199,42.21,9.55,48.24
The Meaning of ‘choice and control’ for People with Intellectual Disabilities who are Planning their Social Care and Support,202,28.71,13.86,57.43
The health of older adults in community activities,321,26.17,12.77,61.06
Community-based research and approaches to loneliness prevention,216,29.63,25.93,44.44
Men with Duchenne muscular dystrophy and end of life planning,151,31.79,21.19,47.02
VEGFR1 and VEGFR2 in Alzheimer's Disease,105,40,14.29,45.71
The physiological consequences of different distributions of diffuse pleural thickening on CT imaging,103,33.98,9.71,56.31
Deprescribing: A primary care perspective,199,34.17,14.07,51.76
Effectiveness of manual bladder expression in paraplegic dogs,100,40,17,43
Association of timing of menarche with depressive symptoms and depression in adolescence: Mendelian randomisation study,130,40,14.62,45.38
Obesity in adolescents with chronic fatigue syndrome: An observational study,161,39.13,19.88,40.99
Acceptability of low dead space syringes and implications for their introduction: A qualitative study in the West of England,349,29.51,10.6,59.89
Using real-time data for increasing the efficiency of the automated fibre placement process,254,42.91,14.57,42.52
Geometric comparison of aerofoil shape parameterization methods,209,46.41,11.48,42.11
5 Year Outcomes and Survivorship of the Triathlon Total Knee Replacement: A Cohort Study,76,40.79,18.42,40.79
Extracellular vesicles at the cross-line between basic science and clinical needs,158,28.48,13.29,58.23
Risk factors for project success in the Chinese construction industry,125,37.6,8.8,53.6
Exploring patients' treatment journeys following randomisation in mental health trials to improve future trial conduct: A synthesis of multiple qualitative data sets,191,35.6,13.09,51.31
Intracranial mechanisms for preserving brain blood flow in health and disease,159,38.99,16.35,44.65
Food and companion animal welfare: The Islamic perspective,111,33.33,16.22,50.45
Membrane-spanning α-helical barrels as tractable protein-design targets,272,39.71,12.87,47.43
"Analyzing repeated measurements while accounting for derivative tracking, varying within-subject variance, and autocorrelation: The xtmixediou command",199,30.65,13.57,55.78
Onychophoran-like myoanatomy of the Cambrian gilled lobopodian Pambdelurion whittingtoni,95,41.05,20,38.95
Aeroelastic tailoring of a representative wing box using tow-steered composites,157,33.12,15.92,50.96
Paget's disease of the vulva: A review of 20 years' experience,183,37.16,11.48,51.37
Towards a behavioural ecology of obesity,254,40.55,16.14,43.31
X-ray reflectivity reveals ionic structure at liquid crystal-aqueous interfaces,201,36.82,15.42,47.76
The investigation of children and adolescents with abnormalities of pubertal timing,213,36.15,16.43,47.42
Biomechanical evaluation of simulated feline patellar fracture repairs,191,29.84,10.47,59.69
Doyne lecture 2016: Intraocular health and the many faces of inflammation,399,41.85,17.04,41.1
Statins and secondary prevention of venous thromboembolism: Pooled analysis of published observational cohort studies,55,32.73,14.55,52.73
Sensitivity analyses for robust causal inference from mendelian randomization analyses with multiple genetic variants,242,35.12,12.4,52.48
Human security and the development-security nexus an historical overview,159,28.93,11.32,59.75
Elucidation of the relative and absolute stereochemistry of the kalimantacin/batumin antibiotics,190,42.11,9.47,48.42
Selected Mutations Reveal New Intermediates in the Biosynthesis of Mupirocin and the Thiomarinol Antibiotics,346,35.55,16.18,48.27
Partitioning well-clustered graphs: Spectral clustering works!,959,26.9,13.76,59.33
Inerter-based configurations for main-landing-gear shimmy suppression,112,37.5,8.04,54.46
The perception and acceptability of pre-slaughter and post-slaughter stunning for Halal production: The views of UK Islamic scholars and Halal consumers,213,42.72,14.08,43.19
Genetic and chemical characterisation of the cornexistin pathway provides further insight into maleidride biosynthesis,170,42.94,12.94,44.12
Gastrophysics: Statistical thermodynamics of biomolecular denaturation and gelation from the Kirkwood-Buff theory towards the understanding of tofu,144,39.58,16.67,43.75
Predicting Conformal Aperture Gain from 3-D Aperture and Platform Models,330,43.03,16.06,40.91
"The main cause of death following primary total hip and knee replacement for osteoarthritis: A cohort study of 26,766 deaths following 332,734 hip replacements and 29,802 deaths following 384,291 knee replacements",138,46.38,8.7,44.93
Pelvic inflammatory disease and salpingitis: Incidence of primary and repeat episodes in England,323,41.8,18.27,39.94
Mimicking the Phenomenon of Ischemic Preconditioning by Actions on Cannabinoid Receptors: The Roles of Protein Kinase C and NO Synthase,977,34.6,19.24,46.16
Mimicking the Phenomenon of Ischemic Preconditioning by Actions on Cannabinoid Receptors: The Roles of Protein Kinase C and NO Synthase,245,34.69,12.65,52.65
Towards next-generation energy planning decision-making: An expert-based framework for intelligent decision support,198,30.3,7.07,62.63
Polymorphism in crystals of bis(4-bromophenyl)fumaronitrile through vapour phase growth,39,25.64,12.82,61.54
Explaining the variability of WD 1145+017 with simulations of asteroid tidal disruption,131,33.59,14.5,51.91
Signal transduction in oligoamide foldamers by selective non-covalent binding of chiral phosphates at a urea binding site,142,28.87,13.38,57.75
A model for cell polarization without mass conservation,157,32.48,17.83,49.68
"Sticking to the Union? Nationalism, inequality and political disaffection and the geography of Scotland’s 2014 independence referendum",143,30.07,16.08,53.85
Rational curves on smooth hypersurfaces of low degree,157,38.22,13.38,48.41
Jumping over a low hurdle: personal pension fund performance,149,28.19,11.41,60.4
UK local councils reporting of biodiversity values: a stakeholder perspective,196,42.35,12.76,44.9
Forms in many variables and differing degrees,206,36.89,14.56,48.54
Šabac: A cinematographic archaeology?,217,33.64,14.29,52.07
A New Insight into the World Economic Forum Global Risks,212,35.85,18.87,45.28
Editorial boards of accounting journals: gender diversity and internationalisation,230,39.57,18.26,42.17
Not so patchy story of attempted suicide...leading to 24hours of deep sleep and survival!,159,49.69,9.43,40.88
Devising a fairer method for adjusting target scores in interrupted one-day international cricket,163,36.2,15.34,48.47
Simulations of doped CeO2 at finite dopant concentrations,190,43.16,20,36.84
Wild dwarf mongooses produce general alert and predator-specific alarm calls,280,40,12.5,47.5
Post-buckling analysis of variable-angle tow composite plates using Koiter's approach and the finite element method,197,42.64,15.74,41.62
Thermomechanical modeling of the altiplano-puna deformation anomaly: Multiparameter insights into magma mush reorganization,131,38.93,14.5,46.56
Pre-paradigmatic status of industrial sustainability: a systematic review,106,33.02,18.87,48.11
Products of Criegee intermediate reactions with NO2: Experimental measurements and tropospheric implications,227,41.85,12.78,45.37
"""Bubble-in-the-roll"" Technique using the endoject DMEK injector: Influence of the air bubble on endothelial cell loss",258,29.07,22.09,48.84
Primary: Vs. secondary H-atom abstraction in the Cl-atom reaction with n -pentane,215,33.95,9.3,56.74
Bayesian piecewise linear mixed models with a random change point: An application to BMI rebound in childhood,204,29.9,21.57,48.53
Active sensorimotor control for tactile exploration,183,39.89,21.31,38.8
The Rationale and Design of the Reducing Pathology in Alzheimer's Disease through Angiotensin TaRgeting (RADAR) Trial,138,41.3,26.81,31.88
Geometry-Retentive C-Alkenylation of Lithiated α-Aminonitriles: Quaternary α-Alkenyl Amino Acids and Hydantoins,153,30.07,8.5,61.44
Comparison of early and late quality of life between left anterior thoracotomy and median sternotomy off-pump coronary artery bypass surgery,127,42.52,18.11,39.37
Feline coronavirus quantitative reverse transcriptase polymerase chain reaction on effusion samples in cats with and without feline infectious peritonitis,182,40.66,12.64,46.7
Antimicrobial use in food-producing animals: A rapid evidence assessment of stakeholder practices and beliefs,241,36.1,14.94,48.96
Unravelling the mechanisms of vibrational relaxation in solution,171,37.43,12.87,49.71
Myosin and actin filaments in muscle: Structures and interactions,199,36.68,21.61,41.71
Approximating the main conjecture in vinogradov's mean value theorem,202,33.66,19.8,46.53
Photoacclimation by arctic cryoconite phototrophs,281,26.33,13.17,60.5
Accessible images revisited,255,35.29,13.73,50.98
"A Novel Synthesis of Aryl- and Heteroaryl - Annulated Carbazoles: Newly Synthesized Pyrido-, Benzo[a]- and Spirooxindolinebenzo[a]-carbazols",249,38.15,8.43,53.41
"Synthesis of hetero annulated isoxazolo-, pyrido- and pyrimido carbazoles: Screened for in vitro antitumor activity and structure activity relationships, a novel 2-amino-4-(3’-bromo-4’-methoxyphenyl)-8-chloro-11H-pyrimido[4,5-a]carbazole as an antitumor agent",271,36.9,11.07,52.03
Acceleration harmonic estimation for a hydraulic shaking table by using particle swarm optimization,225,33.78,10.67,55.56
Diophantine approximation with restricted numerators and denominators on semisimple groups,115,37.39,13.04,49.57
Quantization for uniform distributions on equilateral triangles,200,35.5,12,52.5
Comparison of variance-based and moment-independent global sensitivity analysis approaches by application to the SWAT model,271,32.47,19.56,47.97
Cardinal characteristics at κ in a small u(κ) model,244,39.75,15.98,44.26
MINIMIZING DIRICHLET EIGENVALUES on CUBOIDS of UNIT MEASURE,161,38.51,19.25,42.24
A review of the use of ark sites and associated conservation measures to secure the long-term survival of White-clawed crayfish Austropotamobius pallipes in the United Kingdom and Ireland,228,28.07,15.79,56.14
The Dynamics of the Reaction of FeO+ and H2: A Model for Inorganic Oxidation,254,38.58,12.99,48.43
A Structurally Characterized Fluoroalkyne,104,30.77,21.15,48.08
Substrate selectivity of an isolated enoyl reductase catalytic domain from an iterative highly reducing fungal polyketide synthase reveals key components of programming,99,31.31,15.15,53.54
Robustness in evolutionary explanations: a positive account,263,33.46,23.19,43.35
Exposure to phytoestrogens in utero and age at menarche in a contemporary British cohort,300,36,11,53
Achieve a low carbon supply chain through product mix,254,38.58,10.24,51.18
SpaceScanner: COPASI wrapper for automated management of global stochastic optimization experiments,77,29.87,11.69,58.44
Sauna bathing is inversely associated with dementia and Alzheimer's disease in middle-aged Finnish men,247,31.98,10.53,57.49
Dibenzazepinyl ureas as dual NMR and CD probes of helical screw-sense preference in conformationally equilibrating dynamic foldamers,112,34.82,13.39,51.79
The role of logbooks as mediators of engineering design work,235,40,10.21,49.79
Crustal sequestration of magmatic sulfur dioxide,251,34.66,15.14,50.2
"Oxidative 1,2-Difunctionalization of Ethylene via Gold-Catalyzed Oxyarylation",117,40.17,11.11,48.72
A qualitative investigation of eating difficulties in adolescents with chronic fatigue syndrome/myalgic encephalomyelitis,274,32.48,20.07,47.45
Biomechanical Evaluation of Different Musculoskeletal Arrangements in Psittacosaurus and Implications for Cranial Function,382,33.51,9.42,57.07
A folding decalin tetra-urea for transmembrane anion transport,249,40.56,11.24,48.19
Right internal thoracic artery or radial artery? A propensity-matched comparison on the second-best arterial conduit,309,37.86,13.27,48.87
Facilitating practice-led co-innovation for the improvement in animal welfare,269,30.48,12.64,56.88
Counting lattice points in norm balls on higher rank simple lie groups,237,37.97,13.08,48.95
A theoretical framework for lagrangian descriptors,326,38.04,9.2,52.76
Therapeutic hypothermia translates from ancient history in to practice,150,31.33,20.67,48
Visible light photocatalytic decarboxylative monofluoroalkenylation of α-amino acids with: Gem -difluoroalkenes,209,39.23,15.79,44.98
Congenital talipes equinovarus and congenital vertical talus secondary to sacral agenesis,262,29.77,9.54,60.69
Expert judgment-based fragility assessment of reinforced concrete buildings exposed to fire,250,34.4,15.6,50
"Using ignimbrites to quantify structural relief growth and understand deformation processes: Implications for the development of the Western Andean Slope, northernmost Chile",108,37.04,35.19,27.78
Morphological and electrical comparison of Ti and Ta based ohmic contacts for AlGaN/GaN-on-SiC HFETs,202,33.17,14.36,52.48
"Bed conditions of Pine Island Glacier, West Antarctica",203,30.05,9.36,60.59
"Chlamydia trachomatis incidence using self-reports and serology by gender, age period, and sexual behavior in a birth cohort",256,25.78,10.94,63.28
Independent social work practices with adults in England: An appreciative inquiry of a pilot programme,317,35.96,7.57,56.47
Pitheciid vocal communication: What can we say about what they are saying?,275,30.91,14.55,54.55
POD-based background removal for particle image velocimetry,299,30.43,15.72,53.85
Bowel perforation presenting three months after suprapubic catheter insertion,302,26.82,16.23,56.95
"Synthesis, photophysical properties and DFT analysis of highly substituted pyrido carbazole-based ""push pull"" chromophores",126,36.51,11.9,51.59
Systematic review of public-targeted communication interventions to improve antibiotic use,56,28.57,21.43,50
Almost separable matrices,129,37.98,6.2,55.81
Photochemical ozone creation potentials for volatile organic compounds: Rationalization and estimation,249,36.14,11.24,52.61
CK2 abrogates the inhibitory effects of PRH/HHEX on prostate cancer cell migration and invasion and acts through PRH to control cell proliferation,330,29.39,4.85,65.76
Extrapolation of Survival Curves from Cancer Trials Using External Information,223,35.87,13,51.12
Development of a measure (ICECAP-Close Person Measure) through qualitative methods to capture the benefits of end-of-life care to those close to the dying for use in economic evaluation,81,39.51,20.99,39.51
Measuring cognitive judgement bias in rats using the ambiguous-cue interpretation test,254,35.43,21.65,42.91
13C-Carbamylation as a mechanistic probe for the inhibition of class D β-lactamases by avibactam and halide ions,231,38.53,13.42,48.05
What [plasma used for growing] diamond can shine like flame?,343,34.99,10.79,54.23
Chronic obstructive pulmonary disease in Welsh slate miners,246,38.62,17.89,43.5
Low Nutrient Intake and Frailty Among Overweight and Obese Migrant Women From Ethnically Diverse Backgrounds Ages 60 Years and Older: A Mixed-Methods Study,142,32.39,10.56,57.04
Central limit theorem for random walks in doubly stochastic random environment: H-1 suffices,232,33.62,14.66,51.72
In-situ X-ray computed tomography characterisation of 3D fracture evolution and image-based numerical homogenisation of concrete,237,32.07,11.81,56.12
Robust and reliability-based aeroelastic design of composite plate wings,208,30.77,16.35,52.88
Regulation of NOT CH signaling by RAB7 and RAB8 requires carboxyl methylation by ICMT,115,37.39,9.57,53.04
STEMS pilot trial: A pilot cluster randomised controlled trial to investigate the addition of patient direct access to physiotherapy to usual GP-led primary care for adults with musculoskeletal pain,191,37.7,10.47,51.83
A low-energy decomposition theorem,140,37.14,15,47.86
Outcomes-based commissioning for social care in extra care housing: Is there a future?,153,42.48,5.88,51.63
A community hub approach to older people's housing,275,29.82,13.09,57.09
Cluster-randomized controlled trial evaluating the effectiveness of computer-assisted intervention delivered by educators for children with speech sound disorders,180,32.78,8.33,58.89
Absent monofilament sensation in a type 2 diabetic feet,184,32.07,14.67,53.26
Cooperative hydrogen bonds form a pseudocycle stabilizing an isolated complex of isocyanic acid with urea,294,32.65,8.84,58.5
Influence of frequency-dependent soil–structure interaction on the fragility of R/C bridges,140,39.29,12.14,48.57
Performance implications of SA8000 certification,76,35.53,11.84,52.63
Making Sense of an Unknown Terrain: How Parents Understand Self-Harm in Young People,84,39.29,23.81,36.9
Probabilistic seismic-hazard assessment for Eritrea,191,27.75,10.47,61.78
Brief Report: Prevalence of Co-occurring Epilepsy and Autism Spectrum Disorder: The U.S. National Survey of Children’s Health 2011–2012,203,30.05,14.29,55.67
Transience and multifractal analysis,165,35.15,12.73,52.12
On base sizes for algebraic groups,319,36.36,12.85,50.78
Estimation of phylogenetic divergence times in Panagrolaimidae and other nematodes using relaxed molecular clocks calibrated with insect and crustacean fossils,247,36.44,13.77,49.8
"Comprehensive modeling study of ozonolysis of oleic acid aerosol based on real-time, online measurements of aerosol composition",268,32.09,20.52,47.39
Preliminary investigation of use of flexible folding wing tips for static and dynamic load alleviation,358,38.83,14.53,46.65
"Two abnormal pygidia of the trilobite Toxochasmops from the upper ordovician of the Oslo Region, Norway",146,31.51,13.01,55.48
The 24th January 2016 Hawassa earthquake: Implications for seismic hazard in the Main Ethiopian Rift,360,36.11,21.67,42.22
Regional distribution of ventilation in horses in dorsal recumbency during spontaneous and mechanical ventilation assessed by electrical impedance tomography: a case series,265,35.47,16.6,47.92
"Estimating ETAS: The effects of truncation, missing data, and model assumptions",57,33.33,12.28,54.39
"Femtosecond to microsecond observation of the photochemical reaction of 1,2-di(quinolin-2-yl)disulfide with methyl methacrylate",137,35.04,8.03,56.93
Lithological influences on contemporary and long-term regolith weathering at the Luquillo Critical Zone Observatory,94,34.04,9.57,56.38
In vitro kinetic study of the squalestatin tetraketide synthase dehydratase reveals the stereochemical course of a fungal highly reducing polyketide synthase,148,34.46,14.19,51.35
A rapid scan vacuum FTIR method for determining diffusion coefficients in viscous and glassy aerosol particles,274,41.24,18.61,40.15
Thermocapillary effect on the absolute and convective instabilities of film flows down a fibre,165,30.91,9.7,59.39
Dynamics beyond dynamic jam; unfolding the painlevé paradox singularity,146,30.82,14.38,54.79
Quantifying cultural macro-evolution: a case study of the hinoeuma fertility drop,108,39.81,9.26,50.93
Two different in vitro tests confirm the blocking activity of D-galactose lectins on the adhesion of Escherichia coli F4 to pig brush border receptors,280,33.21,18.21,48.57
Mortality in people with intellectual disabilities in England,164,37.8,18.29,43.9
Quality in bank service encounters: Assessing the equivalence of customers’ and front-line employees’ perceptions,150,34,22.67,43.33
A calcite reference material for LA-ICP-MS U-Pb geochronology,155,38.06,18.71,43.23
Whole-body MRI virtual autopsy using diffusion-weighted imaging with background suppression (DWIBS) at 3 T in a child succumbing to chordoma,191,45.55,14.66,39.79
Evaluation of a compliant droop-nose morphing wing tip via experimental tests,193,44.04,12.95,43.01
Dynamic behaviour of direct spring loaded pressure relief valves connected to inlet piping: IV review and recommendations,165,38.18,15.76,46.06
Optimization of a main landing gear locking mechanism using bifurcation analysis,179,37.99,12.29,49.72
"Fibrous protein structures: Hierarchy, history and heroes",308,37.99,19.81,42.21
"Design and operation of an inexpensive, laboratory-scale, continuous hydrothermal liquefaction reactor for the conversion of microalgae produced during wastewater treatment",169,33.14,18.93,47.93
"The Late Triassic lepidosaur fauna from Hallau, North-Eastern Switzerland, and a new 'basal' rhynchocephalian Deltadectes elvetica gen. et sp. nov.",229,44.54,14.85,40.61
Crystallographic analyses of isoquinoline complexes reveal a new mode of metallo-β-lactamase inhibition,204,29.9,14.71,55.39
"Importance and contribution of community, social, and healthcare risk factors for hepatitis C infection in Pakistan",112,38.39,9.82,51.79
Variations on the sum-product problem II,124,36.29,15.32,48.39
"Well-Being Impacts of Human-Elephant Conflict in Khumaga, Botswana: Exploring Visible and Hidden Dimensions",170,37.06,17.06,45.88
Interfacial and structural characteristics of polyelectrolyte multilayers used as cushions for supported lipid bilayers,183,43.17,13.66,43.17
Manufacturer and retailer coordination for environmental and economic competitiveness: A power perspective,174,28.16,13.22,58.62
Co-Primary Spectrum Sharing for Inter-Operator Device-to-Device Communication,187,42.78,16.04,41.18
Unraveling the diverse nature of service quality in a sharing economy: A social exchange theory perspective of Airbnb accommodation,48,33.33,25,41.67
A qualitative study exploring the value of a catheter passport,159,40.25,12.58,47.17
Synchronization in a random length ring network for SDN-controlled optical TDM switching,77,37.66,5.19,57.14
EuroEcho-imaging 2016: Highlights,244,38.52,13.52,47.95
"Computation provides chemical insight into the diverse hydride NMR chemical shifts of [Ru(NHC)4(L)H]0/+ species (NHC = N-heterocyclic carbene; L = vacant, H2, N2, CO, MeCN, O2, P4, SO2, H-, F- and Cl-) and their [Ru(R2PCH2CH2PR2)2(L)H]+ congeners",122,42.62,18.85,38.52
Trade-off among mechanical properties and energy consumption in multi-pass friction stir processing of Al7075 alloy employing neural network-based genetic optimization,286,29.02,15.73,55.24
Lifting the iron curtain: School-age education and entrepreneurial intentions,154,29.22,15.58,55.19
Newspaper reporting on a cluster of suicides in the UK: A study of article characteristics using PRINTQUAL,211,36.02,9.95,54.03
Rationale and Design of the Mechanistic Potential of Antihypertensives in Preclinical Alzheimer's (HEART) Trial,246,31.71,14.63,53.66
Growth of carbon nanotubes on electrospun cellulose fibers for high performance supercapacitors,218,41.28,16.06,42.66
High molecular weight poly(N-methyl-B-vinylazaborine) - A semi-inorganic B-N polystyrene analogue,237,35.44,11.81,52.74
Diversely halogenated spiropyrans - Useful synthetic building blocks for a versatile class of molecular switches,157,42.68,11.46,45.86
"A flexible communicator: Social call repertoire of Savi’s pipistrelle, Hypsugo savii",262,39.69,12.98,47.33
The in situ growth of CuO nanostructures on an ITO substrate and its application as a highly sensitive electrode for the electrochemical determination of N-acetyl-l-cysteine,298,27.18,15.1,57.72
Effects of vertical confinement on gelation and sedimentation of colloids,205,43.41,18.54,38.05
Single-step fabrication of multi-compartmentalized biphasic proteinosomes,303,32.67,20.13,47.19
Fault-controlled dolomitization in a rift basin,241,29.88,14.94,55.19
Biases in randomized trials,270,36.3,26.3,37.41
Atomistic non-adiabatic dynamics of the LH2 complex with a GPU-accelerated: Ab initio exciton model,98,34.69,16.33,48.98
Recommendation to test limonene hydroperoxides 0·3% and linalool hydroperoxides 1·0% in the British baseline patch test series,163,45.4,18.4,36.2
Loculated empyema due to tuberculosis in a child,129,35.66,12.4,51.94
Clinical outcome and complications of thoracic and pelvic limb stump and socket prostheses,103,33.98,21.36,44.66
"The population trackingmodel: A simple, scalable statistical model for neural population data",254,28.74,12.99,58.27
Preterm Birth Associated with Group B Streptococcus Maternal Colonization Worldwide: Systematic Review and Meta-analyses,170,36.47,11.76,51.76
Electrolyte-induced instability of colloidal dispersions in nonpolar solvents,248,36.69,15.73,47.58
Design and construction of artificial photoresponsive protocells capable of converting day light to chemical energy,204,36.27,9.8,53.92
Enhanced ozone loss by active inorganic bromine chemistry in the tropical troposphere,175,37.14,18.29,44.57
Coordination of slow waves with sleep spindles predicts sleep-dependent memory consolidation in schizophrenia,161,37.89,16.77,45.34
Trimethylsilyl hedgehogs - A novel class of super-efficient hydrocarbon surfactants,209,40.67,16.75,42.58
